Venue Name,Region,Contact Name,Contact Role,Contact Email,Contact Phone / WhatsApp,Website,Instagram,Outreach Status,Commission Agreement,Pricing Band,Priority Score,Next Follow-Up Date,Notes / Call Log,Brochure / Media Attachments,Website Listing URL,Last Contact Date
Belmond Hotel Caruso,Amalfi Coast,,Unknown,reservations.car@belmond.com,+39 089 858 801,https://italianvenues.com/venues/belmond-hotel-caruso,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/belmond-hotel-caruso,
Borgo Egnazia,Puglia,,Unknown,info@borgoegnazia.com,+39 080 225 5000,https://italianvenues.com/venues/borgo-egnazia,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/borgo-egnazia,
Borgo Santo Pietro,Tuscany,,Unknown,info@borgosantopietro.com,+39 0577 751 222,https://italianvenues.com/venues/borgo-santo-pietro,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/borgo-santo-pietro,
Castello di Tor Crescenza,Rome,,Unknown,info@castellotorcrescenza.it,+39 06 3089 8801,https://italianvenues.com/venues/castello-di-tor-crescenza,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/castello-di-tor-crescenza,
Grand Hotel Tremezzo,Lake Como,,Unknown,info@grandhoteltremezzo.com,+39 0344 42491,https://italianvenues.com/venues/grand-hotel-tremezzo,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/grand-hotel-tremezzo,
Hotel Il Pellicano,Tuscany,,Unknown,events@pellicanohotels.com,+39 06 45 44 57 43,https://italianvenues.com/venues/hotel-il-pellicano,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/hotel-il-pellicano,
La Posta Vecchia,Rome,,Unknown,events@pellicanohotels.com,+39 06 45 44 57 43,https://italianvenues.com/venues/la-posta-vecchia,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/la-posta-vecchia,
Le Sirenuse,Amalfi Coast,,Unknown,info@sirenuse.it,+39 089 875 066,https://italianvenues.com/venues/le-sirenuse,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/le-sirenuse,
Masseria Salamina,Puglia,Chiara de Miccolis Angelini,Unknown,info@masseriasalamina.it,+39 080 4897307,https://www.masseriasalamina.it,,Uncontacted,Not discussed,$$,0,,,https://italianvenues.com/venues/masseria-salamina,
Mezzatorre Hotel & Thermal Spa,Amalfi Coast,,Unknown,events@pellicanohotels.com,+39 081 986111,https://italianvenues.com/venues/mezzatorre-hotel-thermal-spa,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/mezzatorre-hotel-thermal-spa,
Monastero Santa Rosa,Amalfi Coast,,Unknown,info@monasterosantarosa.com,+39 089 832 1199,https://italianvenues.com/venues/monastero-santa-rosa,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/monastero-santa-rosa,
Tenuta 4 pini,Rome,,Unknown,info@tenuta4pini.it,+39 06 123 4567,https://italianvenues.com/venues/tenuta-4-pini,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/tenuta-4-pini,
Villa Aurelia,Rome,,Unknown,info@villaaureliaroma.org,+39 06 581 4363,https://italianvenues.com/venues/villa-aurelia,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/villa-aurelia,
Villa Cimbrone,Amalfi Coast,,Unknown,info@villacimbrone.com,+39 089 857 459,https://italianvenues.com/venues/villa-cimbrone,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/villa-cimbrone,
Villa del Balbianello,Lake Como,,Unknown,faibalbianello@fondoambiente.it,+39 0344 56110,https://italianvenues.com/venues/villa-del-balbianello,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/villa-del-balbianello,
Villa d'Este,Lake Como,,Unknown,info@villadeste.it,+39 031 3481,https://italianvenues.com/venues/villa-deste,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/villa-deste,
Villa La Foce,Tuscany,,Unknown,info@lafoce.com,+39 0578 69101,https://italianvenues.com/venues/villa-la-foce,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/villa-la-foce,
Villa Miani,Rome,,Unknown,info@villamiani.com,+39 06 3518 9519,https://italianvenues.com/venues/villa-miani,,Uncontacted,Not discussed,$$$,0,,,https://italianvenues.com/venues/villa-miani,
Villa Pizzo,Lake Como,,Unknown,info@villapizzo.com,+39 031 340 5700,https://italianvenues.com/venues/villa-pizzo,,Uncontacted,Not discussed,$$$$,0,,,https://italianvenues.com/venues/villa-pizzo

